               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   7,            0.028292,            0.042083,                   0,             0.91529,             0.92269,             0.95425,             0.54186,           0.0076703,           0.0066361,                   0,           0.0041094,           0.0041094,           0.0041094
                   8,            0.029773,            0.043926,                   0,             0.92986,             0.92504,              0.9578,             0.53705,           0.0077308,            0.006812,                   0,           0.0070391,           0.0070391,           0.0070391
                   9,            0.028232,            0.041704,                   0,             0.93273,             0.90992,              0.9536,              0.5462,           0.0076008,           0.0065484,                   0,           0.0062814,           0.0062814,           0.0062814
                  10,            0.027018,            0.040462,                   0,             0.94712,             0.92202,             0.96799,             0.57367,           0.0072586,           0.0063144,                   0,              0.0055,              0.0055,              0.0055
                  11,            0.026285,            0.039702,                   0,             0.94627,             0.92941,             0.96991,             0.58333,           0.0071423,           0.0060995,                   0,           0.0047186,           0.0047186,           0.0047186
                  12,            0.025431,            0.038407,                   0,             0.92867,             0.95025,             0.96833,             0.58993,           0.0069976,           0.0060739,                   0,           0.0039609,           0.0039609,           0.0039609
                  13,            0.024678,            0.038096,                   0,             0.93277,             0.95731,             0.97456,              0.6013,           0.0068969,           0.0059874,                   0,             0.00325,             0.00325,             0.00325
                  14,            0.025238,            0.039153,                   0,             0.92953,             0.95429,             0.97554,             0.61711,           0.0066922,            0.005934,                   0,           0.0026075,           0.0026075,           0.0026075
